ID,Material_transformation_id,Type,Quantity,Condition,Unit
305,28,,2.00,Reaction time condition,HR
306,28,Gas,,Reaction medium condition,PH
307,28,UV,315-400(UV-C),Wavelength condition,NanoM
308,28,UV,0.01,Illuminated area condition,M2
309,29,Fixed-bed,,Reactor condition,L
310,29,Film,0.25,Catalyst set up condition,GM
311,29,Fluorescent,60.00,Lamp power condition,W
312,29,Fluorescent,,Lamp irradiance condition,W-PER-M2
313,29,,45.00,Temperature condition,DEG_C
314,29,,1.11,Preasure condition,BAR
315,29,,,Space velocity condition,PER-HR
316,29,,2.00,Reaction time condition,HR
317,29,Gas,,Reaction medium condition,PH
318,29,UV,315-400(UV-C),Wavelength condition,NanoM
319,29,UV,0.01,Illuminated area condition,M2
320,30,Fixed-bed,,Reactor condition,L
321,30,Film,0.25,Catalyst set up condition,GM
322,30,Fluorescent,60.00,Lamp power condition,W
323,30,Fluorescent,,Lamp irradiance condition,W-PER-M2
324,30,,45.00,Temperature condition,DEG_C
325,30,,1.11,Preasure condition,BAR
326,30,,,Space velocity condition,PER-HR
327,30,,2.00,Reaction time condition,HR
328,30,Gas,,Reaction medium condition,PH
329,30,UV,315-400(UV-C),Wavelength condition,NanoM
330,30,UV,0.01,Illuminated area condition,M2
331,31,Fixed-bed,,Reactor condition,L
332,31,Film,31 nm,Catalyst set up condition,GM
333,31,Mercury(Hg),100.00,Lamp power condition,W
334,31,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
335,31,,75.00,Temperature condition,DEG_C
336,31,,1.22,Preasure condition,BAR
337,31,,83.30,Space velocity condition,PER-HR
338,31,,4.00,Reaction time condition,HR
339,31,Gas,,Reaction medium condition,PH
340,31,UV,315-400(UV-C),Wavelength condition,NanoM
341,31,UV,,Illuminated area condition,M2
342,32,Fixed-bed,,Reactor condition,L
343,32,Film,33 nm,Catalyst set up condition,GM
344,32,Mercury(Hg),100.00,Lamp power condition,W
345,32,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
346,32,,75.00,Temperature condition,DEG_C
347,32,,1.22,Preasure condition,BAR
348,32,,83.30,Space velocity condition,PER-HR
349,32,,4.00,Reaction time condition,HR
350,32,Gas,,Reaction medium condition,PH
351,32,UV,315-400(UV-C),Wavelength condition,NanoM
352,32,UV,,Illuminated area condition,M2
353,33,Fixed-bed,,Reactor condition,L
354,33,Film,27 nm,Catalyst set up condition,GM
355,33,Mercury(Hg),100.00,Lamp power condition,W
356,33,Mercury(Hg),9999.99,Lamp irradiance condition,W-PER-M2
357,33,,75.00,Temperature condition,DEG_C
358,33,,1.22,Preasure condition,BAR
359,33,,83.30,Space velocity condition,PER-HR
360,33,,4.00,Reaction time condition,HR
361,33,Gas,,Reaction medium condition,PH
362,33,UV,315-400(UV-C),Wavelength condition,NanoM
363,33,UV,,Illuminated area condition,M2
364,34,Fixed-bed,,Reactor condition,L
365,34,Film,,Catalyst set up condition,GM
366,34,Solar,,Lamp power condition,W
367,34,Solar,600.00,Lamp irradiance condition,W-PER-M2
368,34,,75.00,Temperature condition,DEG_C
369,34,,1.22,Preasure condition,BAR
370,34,,83.30,Space velocity condition,PER-HR
371,34,,5.50,Reaction time condition,HR
372,34,Gas,,Reaction medium condition,PH
373,34,Solar,0,Wavelength condition,NanoM
374,34,Solar,,Illuminated area condition,M2
375,35,Fixed-bed,,Reactor condition,L
376,35,Film,,Catalyst set up condition,GM
377,35,Mercury(Hg),100.00,Lamp power condition,W
378,35,Mercury(Hg),2250.00,Lamp irradiance condition,W-PER-M2
379,35,,75.00,Temperature condition,DEG_C
380,35,,1.22,Preasure condition,BAR
381,35,,83.30,Space velocity condition,PER-HR
382,35,,4.00,Reaction time condition,HR
383,35,Gas,,Reaction medium condition,PH
384,35,UV,315-400(UV-C),Wavelength condition,NanoM
385,35,UV,,Illuminated area condition,M2
386,36,Fixed-bed,,Reactor condition,L
387,36,Film,,Catalyst set up condition,GM
388,36,Solar,,Lamp power condition,W
389,36,Solar,63.50,Lamp irradiance condition,W-PER-M2
390,36,,75.00,Temperature condition,DEG_C
391,36,,1.22,Preasure condition,BAR
392,36,,83.30,Space velocity condition,PER-HR
393,36,,5.50,Reaction time condition,HR
394,36,Gas,,Reaction medium condition,PH
395,36,Solar,0,Wavelength condition,NanoM
396,36,Solar,,Illuminated area condition,M2
397,37,Fixed-bed,,Reactor condition,L
398,37,Film,,Catalyst set up condition,GM
399,37,Mercury(Hg),100.00,Lamp power condition,W
400,37,Mercury(Hg),2250.00,Lamp irradiance condition,W-PER-M2
401,37,,75.00,Temperature condition,DEG_C
402,37,,1.22,Preasure condition,BAR
403,37,,83.30,Space velocity condition,PER-HR
404,37,,4.00,Reaction time condition,HR
405,37,Gas,,Reaction medium condition,PH
406,37,UV,315-400(UV-C),Wavelength condition,NanoM
407,37,UV,,Illuminated area condition,M2
408,38,Fixed-bed,,Reactor condition,L
409,38,Film,,Catalyst set up condition,GM
410,38,Mercury(Hg),100.00,Lamp power condition,W
411,38,Mercury(Hg),2250.00,Lamp irradiance condition,W-PER-M2
412,38,,75.00,Temperature condition,DEG_C
413,38,,1.22,Preasure condition,BAR
414,38,,83.30,Space velocity condition,PER-HR
415,38,,4.00,Reaction time condition,HR
416,38,Gas,,Reaction medium condition,PH
417,38,UV,315-400(UV-C),Wavelength condition,NanoM
418,38,UV,,Illuminated area condition,M2
419,39,Fixed-bed,,Reactor condition,L
420,39,Film,,Catalyst set up condition,GM
421,39,Solar,,Lamp power condition,W
422,39,Solar,20.50,Lamp irradiance condition,W-PER-M2
423,39,,75.00,Temperature condition,DEG_C
424,39,,1.22,Preasure condition,BAR
425,39,,83.30,Space velocity condition,PER-HR
426,39,,5.50,Reaction time condition,HR
427,39,Gas,,Reaction medium condition,PH
428,39,Solar,0,Wavelength condition,NanoM
429,39,Solar,,Illuminated area condition,M2
430,40,Fixed-bed,,Reactor condition,L
431,40,Film,,Catalyst set up condition,GM
432,40,Mercury(Hg),100.00,Lamp power condition,W
433,40,Mercury(Hg),2250.00,Lamp irradiance condition,W-PER-M2
434,40,,75.00,Temperature condition,DEG_C
435,40,,1.22,Preasure condition,BAR
436,40,,83.30,Space velocity condition,PER-HR
437,40,,4.00,Reaction time condition,HR
438,40,Gas,,Reaction medium condition,PH
439,40,UV,315-400(UV-C),Wavelength condition,NanoM
440,40,UV,,Illuminated area condition,M2
441,41,Fixed-bed,,Reactor condition,L
442,41,Film,,Catalyst set up condition,GM
443,41,Solar,,Lamp power condition,W
444,41,Solar,200.00,Lamp irradiance condition,W-PER-M2
445,41,,75.00,Temperature condition,DEG_C
446,41,,1.22,Preasure condition,BAR
447,41,,83.30,Space velocity condition,PER-HR
448,41,,5.50,Reaction time condition,HR
449,41,Gas,,Reaction medium condition,PH
