ID,Material_transformation_id,Chemical,Quantity,Unit,QUDT_unit
43,4,CH4,5.6000,g,MicroMOL-PER-GM
44,4,CH3OH,1.2100,g,MicroMOL-PER-GM
45,4,H2,1.7361,m2h,MicroMOL-PER-M2-HR
46,4,CO,0.0119,m2h,MicroMOL-PER-M2-HR
47,4,CH4,0.0778,m2h,MicroMOL-PER-M2-HR
48,4,CH3OH,0.0168,m2h,MicroMOL-PER-M2-HR
49,5,H2,6.1667,gh,MicroMOL-PER-GM-HR
50,5,CO,0.0229,gh,MicroMOL-PER-GM-HR
51,5,CH4,0.3583,gh,MicroMOL-PER-GM-HR
52,5,CH3OH,0.0754,gh,MicroMOL-PER-GM-HR
53,5,H2,148.0000,g,MicroMOL-PER-GM
54,5,CO,0.5500,g,MicroMOL-PER-GM
55,5,CH4,8.6000,g,MicroMOL-PER-GM
56,5,CH3OH,1.8100,g,MicroMOL-PER-GM
57,5,H2,2.0556,m2h,MicroMOL-PER-M2-HR
58,5,CO,0.0076,m2h,MicroMOL-PER-M2-HR
59,5,CH4,0.1194,m2h,MicroMOL-PER-M2-HR
60,5,CH3OH,0.0251,m2h,MicroMOL-PER-M2-HR
61,6,CO,19.2988,m2h,MicroMOL-PER-M2-HR
62,7,CO,30.2747,m2h,MicroMOL-PER-M2-HR
63,8,CH3OH,0.4500,gh,MicroMOL-PER-GM-HR
64,8,CH3OH,0.4500,g,MicroMOL-PER-GM
65,9,CO,0.0300,gh,MicroMOL-PER-GM-HR
66,10,CO,0.1700,gh,MicroMOL-PER-GM-HR
67,11,CO,0.4500,gh,MicroMOL-PER-GM-HR
68,12,CO,0.4300,gh,MicroMOL-PER-GM-HR
69,13,CO,0.4667,gh,MicroMOL-PER-GM-HR
70,13,CO,2.3333,g,MicroMOL-PER-GM
71,13,CO,116.6667,m2h,MicroMOL-PER-M2-HR
72,14,CO,1.0000,gh,MicroMOL-PER-GM-HR
73,14,CO,5.0000,g,MicroMOL-PER-GM
74,14,CO,250.0000,m2h,MicroMOL-PER-M2-HR
75,15,CO,0.4667,gh,MicroMOL-PER-GM-HR
76,15,CO,2.3333,g,MicroMOL-PER-GM
77,15,CO,116.6667,m2h,MicroMOL-PER-M2-HR
78,16,CO,0.2634,gh,MicroMOL-PER-GM-HR
79,16,CO,10.6667,g,MicroMOL-PER-GM
80,16,CO,65.8436,m2h,MicroMOL-PER-M2-HR
81,17,CO,0.4774,gh,MicroMOL-PER-GM-HR
82,17,CO,19.3333,g,MicroMOL-PER-GM
83,17,CO,119.3416,m2h,MicroMOL-PER-M2-HR
84,18,CO,0.6255,gh,MicroMOL-PER-GM-HR
85,18,CO,25.3333,g,MicroMOL-PER-GM
86,18,CO,156.3786,m2h,MicroMOL-PER-M2-HR
87,19,CO,0.7819,gh,MicroMOL-PER-GM-HR
88,19,CO,31.6667,g,MicroMOL-PER-GM
89,19,CO,195.4733,m2h,MicroMOL-PER-M2-HR
90,20,HCOOH,1.7600,gh,MicroMOL-PER-GM-HR
91,20,HCOOH,8.8000,g,MicroMOL-PER-GM
92,20,HCOOH,0.2200,m2h,MicroMOL-PER-M2-HR
93,21,CH4,3.9000,gh,MicroMOL-PER-GM-HR
94,21,CH4,132.6000,g,MicroMOL-PER-GM
95,21,CH4,13.9286,m2h,MicroMOL-PER-M2-HR
96,22,CH4,4.8000,gh,MicroMOL-PER-GM-HR
97,22,CH4,163.2000,g,MicroMOL-PER-GM
98,22,CH4,17.1429,m2h,MicroMOL-PER-M2-HR
99,23,C2H4O2,650.0000,gh,MicroMOL-PER-GM-HR
100,23,C2H4O2,3900.0000,g,MicroMOL-PER-GM
101,24,C2H4O2,1600.0000,gh,MicroMOL-PER-GM-HR
102,24,C2H4O2,9600.0000,g,MicroMOL-PER-GM
103,25,CO,0.0600,gh,MicroMOL-PER-GM-HR
104,25,CH4,1.4550,gh,MicroMOL-PER-GM-HR
105,25,C2H6,0.0700,gh,MicroMOL-PER-GM-HR
106,25,CO,0.1200,g,MicroMOL-PER-GM
107,25,CH4,2.9100,g,MicroMOL-PER-GM
108,25,C2H6,0.1400,g,MicroMOL-PER-GM
109,25,CO,2.2222,m2h,MicroMOL-PER-M2-HR
110,25,CH4,53.8889,m2h,MicroMOL-PER-M2-HR
111,25,C2H6,2.5926,m2h,MicroMOL-PER-M2-HR
112,26,CO,0.1050,gh,MicroMOL-PER-GM-HR
